idProject,Name,Description,startDate,endDate,Status
1,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-07-22,2021-05-22,COMPLETED
2,Rénovation de route,Projet Rénovation de route pour l'amélioration des infrastructures.,2020-11-04,2023-07-04,DELAYED
3,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-10-22,2022-03-22,DELAYED
4,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-09-15,2024-02-15,DELAYED
5,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-10-06,2021-05-06,DELAYED
6,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-05-25,2022-08-25,ON_GOING
7,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-07-07,2023-04-07,DELAYED
8,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-07-04,2023-10-04,ON_GOING
9,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-09-16,2024-01-16,DELAYED
10,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-05-25,2022-04-25,DELAYED
11,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-04-19,2022-04-19,ON_GOING
12,École primaire,Projet École primaire pour l'amélioration des infrastructures.,2020-10-09,2021-10-09,ON_GOING
13,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-08-09,2021-06-09,DELAYED
14,Logements sociaux,Projet Logements sociaux pour l'amélioration des infrastructures.,2020-04-20,2023-01-20,DELAYED
15,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-11-19,2022-11-19,ON_GOING
16,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-03-27,2023-10-27,DELAYED
17,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-01-14,2023-02-14,DELAYED
